Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Email Login,900,44817,105,88159,25646.59,0.000%,9.23626,9.51,2.56,1054.3
Brands by Categories,900,6627,101,30047,7837.40,0.000%,8.95834,8.46,4.02,967.0
Brands,900,3184,8,31300,6811.65,0.000%,8.96602,15.94,3.98,1821.0
Offers,900,2487,7,31695,5832.36,0.000%,8.97344,11.82,3.99,1349.0
Claim Create,900,4923,4,32048,6506.58,44.444%,9.01316,2.60,12.79,295.0
TOTAL,4500,12407,4,88159,20809.86,8.889%,44.72583,47.93,27.13,1097.3
