Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Email Login,900,45635,100,135844,30148.42,7.000%,6.31575,7.01,1.63,1136.6
Brands by Categories,837,3019,4,28207,5696.07,0.000%,8.57846,8.10,3.85,967.0
Brands,837,221,3,24610,1138.31,0.000%,8.57846,15.26,3.81,1821.0
Offers,837,194,3,21848,754.08,0.000%,8.58708,11.31,3.82,1349.0
Claim Create,837,19082,3,68401,18398.07,40.263%,8.60279,2.46,12.21,292.4
Get Claim,500,31,2,411,52.29,0.000%,17.27653,42.00,7.68,2489.3
TOTAL,4748,12623,2,135844,23221.50,8.425%,33.31906,40.95,19.38,1258.4
