Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Email Login,1000,50284,104,102855,28784.66,0.000%,9.14553,9.41,2.54,1054.0
Brands by Categories,1000,9908,5,39196,11474.83,0.000%,8.91790,8.42,4.00,967.0
Brands,1000,3328,6,39558,8425.43,0.000%,8.91735,15.86,3.96,1821.0
Offers,1000,2459,6,39862,6922.53,0.000%,8.94110,11.78,3.97,1349.0
Claim Create,1000,4656,7,40107,7423.58,50.000%,8.96716,2.61,12.74,298.5
TOTAL,5000,14127,5,102855,23672.13,10.000%,44.53589,47.75,27.03,1097.9
