Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Email Login,800,37642,101,77483,21690.93,0.000%,9.32988,9.61,2.59,1054.8
Brands by Categories,800,2364,7,19388,4639.42,0.000%,8.89591,8.40,3.99,967.0
Brands,800,195,4,19010,671.04,0.000%,8.90571,15.84,3.96,1821.0
Offers,800,174,4,390,85.81,0.000%,8.92548,11.76,3.97,1349.0
Claim Create,800,18344,3,53086,17661.91,37.500%,8.92827,2.53,12.67,290.6
Get Claim,500,19,3,405,39.45,0.000%,62.07325,140.43,27.58,2316.7
TOTAL,4500,10441,3,77483,18620.30,6.667%,37.48626,45.10,22.07,1232.1
